ini_id,legislatura,cap,cap_label,model_version
356251,L17,23,"Cultura, desporto e lazer",xlm-roberta-large-pooled-cap-v3
356109,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356577,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356531,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315739,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315333,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
335937,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356397,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315927,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
335960,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356291,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315248,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356166,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315179,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315221,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315303,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
356603,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
315390,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315334,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356380,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315550,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315118,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356396,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
315717,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315907,L17,23,"Cultura, desporto e lazer",xlm-roberta-large-pooled-cap-v3
356159,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315321,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315209,L17,9,Imigração,xlm-roberta-large-pooled-cap-v3
315501,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
356268,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
315217,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
346035,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356645,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
356248,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
346055,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
315859,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356164,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356614,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356288,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315480,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315141,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
346057,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356285,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315285,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315628,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315872,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315315,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315724,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356440,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356170,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356211,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
315082,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315540,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356174,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315078,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315440,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315802,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315442,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315863,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
335945,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356450,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315607,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315643,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356552,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315055,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356665,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356511,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356419,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315348,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356404,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315227,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315419,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356623,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315896,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315903,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315416,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315705,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
315560,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
356201,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315509,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356742,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315135,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356502,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315224,L17,9,Imigração,xlm-roberta-large-pooled-cap-v3
315544,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315065,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315319,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356099,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315784,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356408,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315738,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356759,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315133,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315138,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356173,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315625,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315039,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356362,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315611,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356521,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315353,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356089,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315323,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315920,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315038,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356400,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315539,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315557,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356764,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
315411,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
346037,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315661,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356726,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
356507,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
335941,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356070,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
356227,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356641,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356224,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356563,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315112,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315666,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356608,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315044,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315553,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356479,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356474,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315275,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315690,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315518,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356392,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315564,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
315395,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
315812,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356287,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315056,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
315206,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356310,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315151,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356061,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315245,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315921,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315777,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315588,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315743,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356489,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356209,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356257,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356622,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
346003,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356722,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315433,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315508,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356246,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315432,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356751,L17,9,Imigração,xlm-roberta-large-pooled-cap-v3
356604,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
315167,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315340,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356638,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356249,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356611,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
356698,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
346020,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
315597,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356230,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356140,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315250,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315667,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356282,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356465,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
315130,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315472,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
315460,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
315695,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356220,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315846,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356335,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356544,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315277,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315793,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
335962,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315811,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315838,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315707,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356649,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
315241,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315289,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315308,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356536,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356629,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315856,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315120,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
346001,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356513,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356207,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356332,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
315750,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356446,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356351,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315716,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
356205,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356589,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
315765,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
315516,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356537,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356657,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315292,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
315536,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356735,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315059,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356233,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356390,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
315847,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
315677,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356283,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356393,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
315909,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356761,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315884,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356169,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315736,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356121,L17,8,Energia,xlm-roberta-large-pooled-cap-v3
315191,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315114,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
315503,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
315270,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315140,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315665,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356415,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356336,L17,9,Imigração,xlm-roberta-large-pooled-cap-v3
356093,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356274,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356640,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
315453,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315103,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
315533,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
315076,L17,17,Tecnologia,xlm-roberta-large-pooled-cap-v3
346058,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356642,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356658,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
315441,L17,16,Defesa,xlm-roberta-large-pooled-cap-v3
315687,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
315621,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356857,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356856,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356855,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356854,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
356853,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356852,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356851,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356850,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356849,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356848,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356847,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356846,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356845,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356844,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356843,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356842,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356841,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356840,L17,5,Trabalho e Emprego,xlm-roberta-large-pooled-cap-v3
356839,L17,1,Macroeconomia,xlm-roberta-large-pooled-cap-v3
356838,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356837,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356836,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356835,L17,7,Ambiente,xlm-roberta-large-pooled-cap-v3
356834,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356833,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356832,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
356831,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356830,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356829,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356828,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356827,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356826,L17,23,"Cultura, desporto e lazer",xlm-roberta-large-pooled-cap-v3
356825,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356824,L17,15,"Sistema bancário, assuntos financeiros e comércio interno",xlm-roberta-large-pooled-cap-v3
356823,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356822,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356821,L17,21,Território e Recursos naturais,xlm-roberta-large-pooled-cap-v3
356820,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356819,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356818,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356816,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356815,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356814,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
356813,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356812,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356811,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356810,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356809,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356807,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356806,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356805,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356804,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356802,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356801,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356800,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356799,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356798,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356797,L17,12,Justiça e Crime,xlm-roberta-large-pooled-cap-v3
356796,L17,13,Segurança Social,xlm-roberta-large-pooled-cap-v3
356795,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356794,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356793,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356792,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
356791,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356790,L17,2,Direitos civis e liberdades,xlm-roberta-large-pooled-cap-v3
356789,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356788,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356787,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356786,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356785,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356784,L17,19,Relações externas,xlm-roberta-large-pooled-cap-v3
356783,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356782,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356781,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356780,L17,3,Saúde,xlm-roberta-large-pooled-cap-v3
356779,L17,14,Habitação,xlm-roberta-large-pooled-cap-v3
356778,L17,20,Governo e Administração Pública,xlm-roberta-large-pooled-cap-v3
356777,L17,6,Educação,xlm-roberta-large-pooled-cap-v3
356776,L17,10,Transportes,xlm-roberta-large-pooled-cap-v3
356775,L17,4,Agricultura,xlm-roberta-large-pooled-cap-v3
